"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0060249",83,"GO:0060249",0.94708,0,"anatomical structure homeostasis","anatomical structure homeostasis",0.952664750957854,0.302111111111111,0
"GO:0051094",118,"GO:0045597",0.94522,0,"positive regulation of developmental process","positive regulation of cell differentiation",0.857747126436782,0.356842105263158,0.919
"GO:0006886",158,"GO:0015031",0.94365,164,"intracellular protein transport","protein transport",0.920995530012771,0.2552,0.957
"GO:0008354",212,"GO:0008354",0.94344,47,"germ cell migration","germ cell migration",0.923154533844189,0.312222222222222,0
"GO:0010604",229,"GO:0010628",0.94115,0,"positive regulation of macromolecule metabolic process","positive regulation of gene expression",0.846553639846743,0.1728,0.807
"GO:0009890",205,"GO:0010629",0.94081,2,"negative regulation of biosynthetic process","negative regulation of gene expression",0.840243933588761,0.183375,0.922
"GO:0031327",205,"GO:0010629",0.94081,0,"negative regulation of cellular biosynthetic process","negative regulation of gene expression",0.823802681992337,0.1796875,0.923
"GO:0019725",83,"GO:0060249",0.9399,1,"cellular homeostasis","anatomical structure homeostasis",0.990455300127714,0.246277777777778,0.756
"GO:0002121",230,"GO:0002121",0.93941,17,"inter-male aggressive behavior","inter-male aggressive behavior",0.953742656449553,0.51,0
"GO:0010608",111,"GO:0010608",0.93892,6,"post-transcriptional regulation of gene expression","post-transcriptional regulation of gene expression",0.855540229885057,0.368857142857143,0
"GO:1901362",232,"GO:1901362",0.93708,0,"organic cyclic compound biosynthetic process","organic cyclic compound biosynthetic process",0.919625798212005,0.628,0
"GO:0050877",224,"GO:0007600",0.93683,27,"nervous system process","sensory perception",0.943084929757344,0.329666666666667,0.931
"GO:0051172",205,"GO:0010629",0.93654,0,"negative regulation of nitrogen compound metabolic process","negative regulation of gene expression",0.847425925925926,0.2005,0.82
"GO:0009314",109,"GO:0009416",0.93298,6,"response to radiation","response to light stimulus",0.952525542784163,0.282,0.979
"GO:0008284",171,"GO:0008284",0.93217,52,"positive regulation of cell population proliferation","positive regulation of cell population proliferation",0.885272669220945,0.331285714285714,0
"GO:0009893",229,"GO:0010628",0.93064,0,"positive regulation of metabolic process","positive regulation of gene expression",0.850993614303959,0.173333333333333,0.792
"GO:0051606",137,"GO:0009582",0.92929,0,"detection of stimulus","detection of abiotic stimulus",0.955889527458493,0.194222222222222,0.917
"GO:0010558",205,"GO:0010629",0.92889,0,"negative regulation of macromolecule biosynthetic process","negative regulation of gene expression",0.820674329501916,0.17875,0.924
"GO:0031325",229,"GO:0010628",0.92855,0,"positive regulation of cellular metabolic process","positive regulation of gene expression",0.833267560664112,0.164533333333333,0.811
"GO:0007602",137,"GO:0009582",0.9257,72,"phototransduction","detection of abiotic stimulus",0.873405491698595,0.212333333333333,0.967
"GO:0002682",146,"GO:0002376",0.92208,0,"regulation of immune system process","immune system process",0.926784802043423,0.2209,0.906
"GO:0045927",73,"GO:0045927",0.92207,14,"positive regulation of growth","positive regulation of growth",0.903199233716475,0.284393939393939,0
"GO:0007166",123,"GO:0007166",0.92169,37,"cell surface receptor signaling pathway","cell surface receptor signaling pathway",0.855929118773946,0.349833333333333,0
"GO:0051960",155,"GO:0051960",0.92147,5,"regulation of nervous system development","regulation of nervous system development",0.843166666666667,0.334666666666667,0
"GO:0019438",218,"GO:0019438",0.92061,0,"aromatic compound biosynthetic process","aromatic compound biosynthetic process",0.904007024265645,0.24025,0
"GO:0007476",186,"GO:0007476",0.92052,155,"imaginal disc-derived wing morphogenesis","imaginal disc-derived wing morphogenesis",0.900533844189017,0.260714285714286,0
"GO:0018130",220,"GO:0018130",0.9205,0,"heterocycle biosynthetic process","heterocycle biosynthetic process",0.903749042145594,0.4114,0
"GO:0006915",43,"GO:0006915",0.91981,80,"apoptotic process","apoptotic process",0.97004214559387,0.259260869565217,0
"GO:0090407",45,"GO:0090407",0.91836,0,"organophosphate biosynthetic process","organophosphate biosynthetic process",0.906621966794381,0.312222222222222,0
"GO:0042659",55,"GO:0042659",0.91699,11,"regulation of cell fate specification","regulation of cell fate specification",0.872792464878672,0.341,0
"GO:0000278",214,"GO:0000278",0.91389,170,"mitotic cell cycle","mitotic cell cycle",0.968892720306513,0.3278,0
"GO:0001708",55,"GO:0042659",0.91172,31,"cell fate specification","regulation of cell fate specification",0.925543422733078,0.344333333333333,0.888
"GO:0006950",181,"GO:0006952",0.91104,0,"response to stress","defense response",0.944188378033206,0.43275,0.813
"GO:0043065",43,"GO:0006915",0.90955,46,"positive regulation of apoptotic process","apoptotic process",0.898975095785441,0.267782608695652,0.825
"GO:0034329",92,"GO:1904396",0.90898,0,"cell junction assembly","regulation of neuromuscular junction development",0.93552809706258,0.243875,0.792
"GO:0022607",191,"GO:0022607",0.90893,0,"cellular component assembly","cellular component assembly",0.931399744572158,0.489333333333333,0
"GO:0007043",92,"GO:1904396",0.90786,5,"cell-cell junction assembly","regulation of neuromuscular junction development",0.941624521072797,0.248625,0.702
"GO:0030036",7,"GO:0030036",0.9071,103,"actin cytoskeleton organization","actin cytoskeleton organization",0.930733077905492,0.271,0
"GO:0035150",221,"GO:0035150",0.90616,0,"regulation of tube size","regulation of tube size",0.930868454661558,0.3045,0
"GO:0006909",159,"GO:0016192",0.90314,25,"phagocytosis","vesicle-mediated transport",0.947169220945083,0.4648,0.698
"GO:0045184",158,"GO:0015031",0.90211,7,"establishment of protein localization","protein transport",0.926161558109834,0.2327,0.98
"GO:0030718",233,"GO:0019827",0.90008,43,"germ-line stem cell population maintenance","stem cell population maintenance",0.944773307790549,0.356,0.966
"GO:0022612",194,"GO:0022612",0.89906,0,"gland morphogenesis","gland morphogenesis",0.931022349936143,0.320833333333333,0
"GO:0007435",194,"GO:0022612",0.89906,53,"salivary gland morphogenesis","gland morphogenesis",0.913340996168582,0.305833333333333,0.998
"GO:0009605",183,"GO:0009605",0.8964,0,"response to external stimulus","response to external stimulus",0.944641123882503,0.407666666666667,0
"GO:0007164",85,"GO:0007164",0.89246,2,"establishment of tissue polarity","establishment of tissue polarity",0.936007024265645,0.379666666666667,0
"GO:0001736",85,"GO:0007164",0.89246,29,"establishment of planar polarity","establishment of tissue polarity",0.926102171136654,0.379333333333333,0.996
"GO:0010623",125,"GO:0010623",0.88932,8,"programmed cell death involved in cell development","programmed cell death involved in cell development",0.91161558109834,0.267714285714286,0
"GO:0048639",73,"GO:0045927",0.88775,5,"positive regulation of developmental growth","positive regulation of growth",0.858172413793103,0.271060606060606,0.968
"GO:0006897",159,"GO:0016192",0.88474,80,"endocytosis","vesicle-mediated transport",0.940502554278416,0.412,0.816
"GO:0008361",221,"GO:0035150",0.88346,14,"regulation of cell size","regulation of tube size",0.894194763729246,0.279666666666667,0.809
"GO:0070887",119,"GO:0070887",0.88229,0,"cellular response to chemical stimulus","cellular response to chemical stimulus",0.92344380587484,0.35,0
"GO:0048812",88,"GO:0048812",0.87848,16,"neuron projection morphogenesis","neuron projection morphogenesis",0.837320561941252,0.242333333333333,0
"GO:0007507",215,"GO:0007507",0.87814,50,"heart development","heart development",0.92012962962963,0.5735,0
"GO:0034654",218,"GO:0019438",0.87778,0,"nucleobase-containing compound biosynthetic process","aromatic compound biosynthetic process",0.897351851851852,0.235125,0.929
"GO:0006357",218,"GO:0019438",0.87641,746,"regulation of transcription by RNA polymerase II","aromatic compound biosynthetic process",0.825469348659004,0.282625,0.815
"GO:0006397",222,"GO:0006397",0.87598,34,"mRNA processing","mRNA processing",0.910784163473819,0.294,0
"GO:0044087",173,"GO:0044087",0.87518,0,"regulation of cellular component biogenesis","regulation of cellular component biogenesis",0.879827586206896,0.304,0
"GO:0001654",177,"GO:0001654",0.87364,23,"eye development","eye development",0.904296296296296,0.238111111111111,0
"GO:0032535",221,"GO:0035150",0.87,0,"regulation of cellular component size","regulation of tube size",0.88952809706258,0.268833333333333,0.846
"GO:1901360",232,"GO:1901362",0.86557,0,"organic cyclic compound metabolic process","organic cyclic compound biosynthetic process",0.923823116219668,0.628,0.744
"GO:0015711",231,"GO:0015711",0.8653,1,"organic anion transport","organic anion transport",0.949614303959132,0.612,0
"GO:0001709",55,"GO:0042659",0.86506,14,"cell fate determination","regulation of cell fate specification",0.924229885057471,0.3225,0.68
"GO:0012501",43,"GO:0006915",0.86478,20,"programmed cell death","apoptotic process",0.96966411238825,0.271260869565217,0.951
"GO:0035107",186,"GO:0007476",0.85894,1,"appendage morphogenesis","imaginal disc-derived wing morphogenesis",0.909993614303959,0.252857142857143,0.964
"GO:0051234",211,"GO:0046907",0.85884,0,"establishment of localization","intracellular transport",0.942995530012771,0.341333333333333,0.712
"GO:0007219",200,"GO:0007219",0.85804,50,"Notch signaling pathway","Notch signaling pathway",0.881417624521073,0.30375,0
"GO:0000381",222,"GO:0006397",0.85621,124,"regulation of alternative mRNA splicing, via spliceosome","mRNA processing",0.861533844189017,0.256333333333333,0.811
"GO:0007268",36,"GO:0007268",0.85369,103,"chemical synaptic transmission","chemical synaptic transmission",0.895322477650064,0.313363636363636,0
"GO:0045595",118,"GO:0045597",0.85265,9,"regulation of cell differentiation","positive regulation of cell differentiation",0.845997445721584,0.223368421052632,0.896
"GO:0048513",194,"GO:0022612",0.85188,6,"animal organ development","gland morphogenesis",0.923081098339719,0.4615,0.579
"GO:0008360",135,"GO:0008360",0.85037,40,"regulation of cell shape","regulation of cell shape",0.862860791826309,0.341285714285714,0
"GO:0072002",134,"GO:0072002",0.8483,5,"Malpighian tubule development","Malpighian tubule development",0.911310344827586,0.253714285714286,0
"GO:0061326",134,"GO:0072002",0.8483,0,"renal tubule development","Malpighian tubule development",0.916012132822478,0.253714285714286,0.998
"GO:0007423",177,"GO:0001654",0.84824,68,"sensory organ development","eye development",0.928344189016603,0.246,0.951
"GO:0009948",70,"GO:0009948",0.84811,18,"anterior/posterior axis specification","anterior/posterior axis specification",0.920247126436782,0.2663,0
"GO:1901698",172,"GO:1901698",0.8476,0,"response to nitrogen compound","response to nitrogen compound",0.946924648786718,0.3554,0
"GO:0016482",210,"GO:0016482",0.84695,0,"cytosolic transport","cytosolic transport",0.940323754789272,0.475333333333333,0
"GO:0071702",231,"GO:0015711",0.84455,13,"organic substance transport","organic anion transport",0.94289527458493,0.612,0.776
"GO:0008610",149,"GO:0008610",0.84452,10,"lipid biosynthetic process","lipid biosynthetic process",0.941651340996169,0.335818181818182,0
"GO:0050896",226,"GO:0050896",0.84431,0,"response to stimulus","response to stimulus",0.944038314176245,0.6205,0
"GO:0001745",177,"GO:0001654",0.84427,119,"compound eye morphogenesis","eye development",0.897684546615581,0.231888888888889,0.955
"GO:0051093",118,"GO:0045597",0.84368,0,"negative regulation of developmental process","positive regulation of cell differentiation",0.856533844189017,0.303368421052632,0.676
"GO:0010243",172,"GO:1901698",0.8432,0,"response to organonitrogen compound","response to nitrogen compound",0.945240740740741,0.3532,0.987
"GO:0071310",119,"GO:0070887",0.8431,0,"cellular response to organic substance","cellular response to chemical stimulus",0.924070881226054,0.343333333333333,0.948
"GO:0022402",214,"GO:0000278",0.84237,0,"cell cycle process","mitotic cell cycle",0.967010217113665,0.354,0.838
"GO:0045596",118,"GO:0045597",0.84096,3,"negative regulation of cell differentiation","positive regulation of cell differentiation",0.840071519795658,0.222315789473684,0.818
"GO:1901701",96,"GO:1901701",0.84064,0,"cellular response to oxygen-containing compound","cellular response to oxygen-containing compound",0.925581736909323,0.2745,0
"GO:0006725",218,"GO:0019438",0.83986,0,"cellular aromatic compound metabolic process","aromatic compound biosynthetic process",0.905155172413793,0.37925,0.746
"GO:1901615",44,"GO:1901615",0.8387,0,"organic hydroxy compound metabolic process","organic hydroxy compound metabolic process",0.957953384418902,0.338,0
"GO:0003002",70,"GO:0009948",0.83764,0,"regionalization","anterior/posterior axis specification",0.911904214559387,0.2784,0.837
"GO:0006351",218,"GO:0019438",0.8357,46,"DNA-templated transcription","aromatic compound biosynthetic process",0.895872924648787,0.226625,0.909
"GO:0090066",221,"GO:0035150",0.83446,0,"regulation of anatomical structure size","regulation of tube size",0.92240932311622,0.272166666666667,0.868
"GO:0051302",9,"GO:0051302",0.83188,3,"regulation of cell division","regulation of cell division",0.923165389527459,0.372176470588235,0
"GO:0030029",7,"GO:0030036",0.83121,4,"actin filament-based process","actin cytoskeleton organization",0.976598978288634,0.278818181818182,0.975
"GO:0009165",77,"GO:0009165",0.83044,2,"nucleotide biosynthetic process","nucleotide biosynthetic process",0.884385696040868,0.191142857142857,0
"GO:1901293",77,"GO:0009165",0.83044,1,"nucleoside phosphate biosynthetic process","nucleotide biosynthetic process",0.884194763729246,0.190571428571429,0.993
"GO:0043473",147,"GO:0043473",0.82921,0,"pigmentation","pigmentation",0.996591315453384,0.237428571428571,0
"GO:0048066",147,"GO:0043473",0.82921,14,"developmental pigmentation","pigmentation",0.996561941251596,0.230857142857143,0.988
"GO:0033365",158,"GO:0015031",0.82919,2,"protein localization to organelle","protein transport",0.931593231162197,0.2632,0.816
"GO:0006022",145,"GO:0006022",0.82917,0,"aminoglycan metabolic process","aminoglycan metabolic process",0.93591570881226,0.334631578947368,0
"GO:0050804",36,"GO:0007268",0.82864,32,"modulation of chemical synaptic transmission","chemical synaptic transmission",0.890772669220945,0.264,0.886
"GO:0044255",149,"GO:0008610",0.82767,7,"cellular lipid metabolic process","lipid biosynthetic process",0.931466794380587,0.276727272727273,0.857
"GO:0035295",134,"GO:0072002",0.82572,1,"tube development","Malpighian tubule development",0.921850574712644,0.255214285714286,0.863
"GO:0048731",219,"GO:0048731",0.82566,0,"system development","system development",0.897506385696041,0.479666666666667,0
"GO:0007167",123,"GO:0007166",0.8203,0,"enzyme-linked receptor protein signaling pathway","cell surface receptor signaling pathway",0.865600893997446,0.287166666666667,0.87
"GO:0007365",133,"GO:0007365",0.81811,1,"periodic partitioning","periodic partitioning",0.926023627075351,0.405166666666667,0
"GO:0009117",77,"GO:0009165",0.81713,2,"nucleotide metabolic process","nucleotide biosynthetic process",0.886397828863346,0.191892857142857,0.956
"GO:0006753",77,"GO:0009165",0.81713,1,"nucleoside phosphate metabolic process","nucleotide biosynthetic process",0.886148148148148,0.190892857142857,0.953
"GO:0035114",186,"GO:0007476",0.81708,1,"imaginal disc-derived appendage morphogenesis","imaginal disc-derived wing morphogenesis",0.910022349936143,0.252571428571429,0.965
"GO:0055085",72,"GO:0055085",0.81662,450,"transmembrane transport","transmembrane transport",0.929296296296296,0.4002,0
"GO:0090304",220,"GO:0018130",0.81399,0,"nucleic acid metabolic process","heterocycle biosynthetic process",0.897551085568327,0.3406,0.734
"GO:0002118",230,"GO:0002121",0.81379,6,"aggressive behavior","inter-male aggressive behavior",0.952766283524904,0.51,0.98
"GO:0016331",64,"GO:0016331",0.81226,10,"morphogenesis of embryonic epithelium","morphogenesis of embryonic epithelium",0.905139208173691,0.32925,0
"GO:0001666",141,"GO:0001666",0.81124,48,"response to hypoxia","response to hypoxia",0.952791826309068,0.203571428571429,0
"GO:0044283",182,"GO:0044283",0.81049,0,"small molecule biosynthetic process","small molecule biosynthetic process",0.92757662835249,0.2803,0
"GO:0051235",113,"GO:0051235",0.8085,0,"maintenance of location","maintenance of location",0.960247126436782,0.296,0
"GO:0045216",92,"GO:1904396",0.80811,8,"cell-cell junction organization","regulation of neuromuscular junction development",0.9450312899106,0.2655625,0.724
"GO:0034330",92,"GO:1904396",0.80811,0,"cell junction organization","regulation of neuromuscular junction development",0.937357598978289,0.248,0.847
"GO:0050807",67,"GO:0051963",0.8049,17,"regulation of synapse organization","regulation of synapse assembly",0.86411558109834,0.23725,0.961
"GO:0007427",212,"GO:0008354",0.80488,41,"epithelial cell migration, open tracheal system","germ cell migration",0.915016602809706,0.302,0.671
"GO:0007049",214,"GO:0000278",0.80249,0,"cell cycle","mitotic cell cycle",0.967151340996169,0.3538,0.864
"GO:0042981",43,"GO:0006915",0.80235,36,"regulation of apoptotic process","apoptotic process",0.905902937420179,0.224826086956522,0.942
"GO:0050776",146,"GO:0002376",0.80219,1,"regulation of immune response","immune system process",0.887444444444444,0.2188,0.885
"GO:0048749",177,"GO:0001654",0.80203,127,"compound eye development","eye development",0.904868454661558,0.239777777777778,0.976
"GO:0048732",194,"GO:0022612",0.80194,0,"gland development","gland morphogenesis",0.939170498084291,0.329666666666667,0.923
"GO:0042221",119,"GO:0070887",0.801,0,"response to chemical","cellular response to chemical stimulus",0.940664750957854,0.334,0.857
"GO:0007447",162,"GO:0007447",0.79939,5,"imaginal disc pattern formation","imaginal disc pattern formation",0.916322477650064,0.279666666666667,0
"GO:0007015",7,"GO:0030036",0.79836,86,"actin filament organization","actin cytoskeleton organization",0.934195402298851,0.265636363636364,0.918
"GO:0010556",111,"GO:0010608",0.79805,0,"regulation of macromolecule biosynthetic process","post-transcriptional regulation of gene expression",0.823095785440613,0.246428571428571,0.672
"GO:0048522",229,"GO:0010628",0.79737,0,"positive regulation of cellular process","positive regulation of gene expression",0.872840996168582,0.282133333333333,0.669
"GO:0007157",5,"GO:0007157",0.79684,31,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.979233077905492,0.3366,0
"GO:0051171",111,"GO:0010608",0.79582,0,"regulation of nitrogen compound metabolic process","post-transcriptional regulation of gene expression",0.84711877394636,0.281642857142857,0.6
"GO:0048518",229,"GO:0010628",0.79577,0,"positive regulation of biological process","positive regulation of gene expression",0.890608556832695,0.297866666666667,0.636
"GO:0048569",204,"GO:0048569",0.79445,0,"post-embryonic animal organ development","post-embryonic animal organ development",0.930851851851852,0.537333333333333,0
"GO:0045934",205,"GO:0010629",0.79433,0,"negative regulation of nucleobase-containing compound metabolic process","negative regulation of gene expression",0.829771392081737,0.2113125,0.784
"GO:0046483",220,"GO:0018130",0.79319,0,"heterocycle metabolic process","heterocycle biosynthetic process",0.905010855683269,0.3424,0.752
"GO:1904397",67,"GO:0051963",0.79059,0,"negative regulation of neuromuscular junction development","regulation of synapse assembly",0.861289272030651,0.2485,0.847
"GO:0045886",67,"GO:0051963",0.79059,46,"negative regulation of synaptic assembly at neuromuscular junction","regulation of synapse assembly",0.783993614303959,0.239875,0.91
"GO:0051964",67,"GO:0051963",0.79059,1,"negative regulation of synapse assembly","regulation of synapse assembly",0.790227330779055,0.23975,0.913
"GO:0034332",92,"GO:1904396",0.7882,10,"adherens junction organization","regulation of neuromuscular junction development",0.948495530012771,0.2896875,0.673
"GO:0050803",67,"GO:0051963",0.78739,22,"regulation of synapse structure or activity","regulation of synapse assembly",0.92434993614304,0.248625,0.945
"GO:0035120",186,"GO:0007476",0.78708,1,"post-embryonic appendage morphogenesis","imaginal disc-derived wing morphogenesis",0.907831417624521,0.251142857142857,0.972
"GO:0009886",127,"GO:0009886",0.78637,0,"post-embryonic animal morphogenesis","post-embryonic animal morphogenesis",0.905325670498084,0.270857142857143,0
"GO:0000209",4,"GO:0000209",0.78584,122,"protein polyubiquitination","protein polyubiquitination",0.932419540229885,0.32125,0
"GO:0009260",145,"GO:0006022",0.78433,0,"ribonucleotide biosynthetic process","aminoglycan metabolic process",0.88149680715198,0.293894736842105,0.653
"GO:0046390",145,"GO:0006022",0.78433,0,"ribose phosphate biosynthetic process","aminoglycan metabolic process",0.903666028097063,0.293736842105263,0.653
"GO:0007030",29,"GO:0007030",0.78296,93,"Golgi organization","Golgi organization",0.945553639846743,0.4325,0
"GO:0031647",228,"GO:0065008",0.78216,17,"regulation of protein stability","regulation of biological quality",0.933462324393359,0.6615,0.677
"GO:0022604",135,"GO:0008360",0.78066,3,"regulation of cell morphogenesis","regulation of cell shape",0.869042784163474,0.329571428571429,0.975
"GO:1901071",145,"GO:0006022",0.78053,0,"glucosamine-containing compound metabolic process","aminoglycan metabolic process",0.952001915708812,0.301157894736842,0.583
"GO:0006040",145,"GO:0006022",0.78053,0,"amino sugar metabolic process","aminoglycan metabolic process",0.951349297573435,0.298526315789474,0.592
"GO:0007444",162,"GO:0007447",0.7795,31,"imaginal disc development","imaginal disc pattern formation",0.928571519795658,0.358833333333333,0.775
"GO:0010454",55,"GO:0042659",0.77909,0,"negative regulation of cell fate commitment","regulation of cell fate specification",0.858135376756066,0.387833333333333,0.952
"GO:0030178",22,"GO:0030178",0.77905,5,"negative regulation of Wnt signaling pathway","negative regulation of Wnt signaling pathway",0.860472541507024,0.3254,0
"GO:0048858",88,"GO:0048812",0.77812,0,"cell projection morphogenesis","neuron projection morphogenesis",0.870612388250319,0.242555555555556,0.983
"GO:0009791",127,"GO:0009886",0.77676,5,"post-embryonic development","post-embryonic animal morphogenesis",0.91428288633461,0.282285714285714,0.936
"GO:0009889",111,"GO:0010608",0.77621,0,"regulation of biosynthetic process","post-transcriptional regulation of gene expression",0.845732439335888,0.253928571428571,0.67
"GO:0031326",111,"GO:0010608",0.77621,0,"regulation of cellular biosynthetic process","post-transcriptional regulation of gene expression",0.826641762452107,0.248642857142857,0.67
"GO:0030307",73,"GO:0045927",0.77565,35,"positive regulation of cell growth","positive regulation of growth",0.863932311621967,0.262242424242424,0.9
"GO:0048813",208,"GO:0048813",0.77541,125,"dendrite morphogenesis","dendrite morphogenesis",0.856881864623244,0.3535,0
"GO:0006974",153,"GO:0006974",0.77354,43,"DNA damage response","DNA damage response",0.930196040868455,0.354416666666667,0
"GO:0008586",204,"GO:0048569",0.7733,54,"imaginal disc-derived wing vein morphogenesis","post-embryonic animal organ development",0.916399744572158,0.546,0.736
"GO:0007613",95,"GO:0007613",0.76765,27,"memory","memory",0.938909961685824,0.221416666666667,0
